,,cost,load,fuel cost,cost_norm,load_norm,del_load_norm,fuel_norm,weather,,,,
256,Oct-97,13.87,84121.86,7.76,0.28,0.34,-0.08,0.2,0,,,,
257,Nov-97,13.3,79993.51,7.54,0.22,0.31,-0.03,0.19,1,,,,
258,Dec-97,12.94,95748.04,7.21,0.18,0.43,0.12,0.17,1,,,,
259,Jan-98,12.66,102540.72,7.03,0.14,0.49,0.06,0.16,1,,,,
260,Feb-98,12.83,86555.7,6.85,0.16,0.36,-0.13,0.15,1,,,,
261,Mar-98,12.89,85985.93,6.67,0.17,0.35,-0.01,0.14,0,,,,
262,Apr-98,13.23,74195.03,6.79,0.21,0.26,-0.09,0.15,0,,,,
263,May-98,13.61,77518.21,7,0.25,0.29,0.03,0.16,1,,,,
264,Jun-98,13.66,98444.51,7.04,0.26,0.45,0.16,0.16,1,,,,
265,Jul-98,13.71,121472.25,6.95,0.26,0.64,0.19,0.15,1,,,,
266,Aug-98,13.67,120267.59,6.98,0.26,0.63,-0.01,0.16,0,,,,
267,Sep-98,13.44,106640.88,6.95,0.23,0.52,-0.11,0.16,0,,,,
268,Oct-98,13.12,86822.93,6.67,0.2,0.36,-0.16,0.14,0,,,,
269,Nov-98,12.77,77017.88,6.35,0.16,0.28,-0.08,0.12,1,,,,
270,Dec-98,12.56,92647.5,6.05,0.13,0.41,0.13,0.11,1,,,,
271,Jan-99,12,111219.42,5.99,0.07,0.55,0.14,0.1,1,,,,
272,Feb-99,12.54,86705.02,6.01,0.13,0.36,-0.19,0.1,1,,,,
273,Mar-99,12.5,89449.81,6.18,0.13,0.38,0.02,0.11,0,,,,
274,Apr-99,12.71,77284.99,6.72,0.15,0.28,-0.1,0.14,0,,,,
275,May-99,12.99,77151.74,6.91,0.18,0.28,0,0.15,1,,,,
276,Jun-99,13.24,95915.32,7.08,0.21,0.43,0.15,0.16,1,,,,
277,Jul-99,13.28,123125.53,7.42,0.21,0.65,0.22,0.18,1,,,,
278,Aug-99,13.14,123959.8,7.73,0.2,0.66,0.01,0.2,0,,,,
279,Sep-99,12.99,104054.56,7.89,0.18,0.5,-0.16,0.2,0,,,,
280,Oct-99,12.98,82605.2,7.71,0.18,0.33,-0.17,0.2,0,,,,
281,Nov-99,12.52,78288.26,7.8,0.13,0.29,-0.04,0.2,1,,,,
282,Dec-99,12.26,95163.43,7.88,0.1,0.43,0.14,0.2,1,,,,
283,Jan-00,11.79,109492.09,8.14,0.05,0.54,0.11,0.22,1,,,,
284,Feb-00,11.82,98445.86,9.17,0.05,0.45,-0.09,0.27,1,,,,
285,Mar-00,12.33,84645.02,9.05,0.11,0.34,-0.11,0.27,0,,,,
286,Apr-00,12.43,76228.45,8.71,0.12,0.28,-0.06,0.25,0,,,,
287,May-00,12.7,83366.31,8.99,0.15,0.33,0.05,0.26,1,,,,
288,Jun-00,12.96,103976.43,9.48,0.18,0.5,0.17,0.29,1,,,,
289,Jul-00,13,119475.31,9.48,0.18,0.62,0.12,0.29,1,,,,
290,Aug-00,13.03,123769.36,9.43,0.19,0.66,0.04,0.29,0,,,,
291,Sep-00,12.78,108546.42,10.02,0.16,0.53,-0.13,0.32,0,,,,
292,Oct-00,12.73,86831.64,9.88,0.15,0.36,-0.17,0.31,0,,,,
293,Nov-00,12.2,84516.25,9.69,0.09,0.34,-0.02,0.3,1,,,,
294,Dec-00,11.68,113153.36,9.38,0.03,0.57,0.23,0.28,1,,,,
295,1-Jan,11.48,127080.03,9.53,0.01,0.68,0.11,0.29,1,,,,
296,1-Feb,11.91,99875.59,9.44,0.06,0.46,-0.22,0.29,1,,,,
297,1-Mar,12.32,92816.13,8.98,0.1,0.41,-0.05,0.26,0,,,,
298,1-Apr,12.5,82438.26,9.23,0.13,0.32,-0.09,0.28,0,,,,
299,1-May,12.98,81755.58,9.73,0.18,0.32,0,0.3,1,,,,
300,1-Jun,13.31,99409.92,9.59,0.22,0.46,0.14,0.29,1,,,,
301,1-Jul,13.27,120695.09,8.96,0.21,0.63,0.17,0.26,1,,,,
302,1-Aug,13.24,129189.8,8.92,0.21,0.7,0.07,0.26,0,,,,
303,1-Sep,13.06,105956.42,9.07,0.19,0.51,-0.19,0.27,0,,,,
304,1-Oct,12.98,85424.56,7.99,0.18,0.35,-0.16,0.21,0,,,,
305,1-Nov,12.45,80798.47,7.45,0.12,0.31,-0.04,0.18,1,,,,
306,1-Dec,12.18,96166.74,6.95,0.09,0.43,0.12,0.15,1,,,,
307,2-Jan,11.84,116891.8,7,0.05,0.6,0.17,0.16,1,,,,
308,2-Feb,11.99,96592.93,7,0.07,0.44,-0.16,0.16,1,,,,
309,2-Mar,11.93,95318.67,7.42,0.06,0.43,-0.01,0.18,0,,,,
310,2-Apr,12.17,85407.61,7.94,0.09,0.35,-0.08,0.21,0,,,,
